framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,4,1,4,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.0044511999934911724
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,8,1,8,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.004572800174355507
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,16,1,16,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.004854400083422661
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,32,1,32,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.004476799815893173
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,1024,1,1024,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.016761599481105803
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,1024,1,1024,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.016777600347995757
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,64,1,64,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.00453759990632534
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,1,1,1,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.003903999924659729
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,128,1,128,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.006454399973154068
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,2,1,2,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.003971200063824653
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,1,1,2048,4,16,128,16,128,Qwen/Qwen3.5-2B,0.24852800369262695
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,256,1,256,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.006630399823188781
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,4,1,4,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.004390399903059006
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,8,1,8,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.004422400146722794
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,512,1,512,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.0106175996363163
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,16,1,16,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.004428799822926521
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,1024,1,1024,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.01542080044746399
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,1,1,1,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.0036991998553276063
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,2,1,2,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.004262400045990944
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,4,1,4,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.004508800059556961
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,8,1,8,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.004470400139689445
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,16,1,16,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.004476799815893173
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,32,1,32,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.004243199899792671
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,64,1,64,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.004444799944758415
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,32,1,32,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.004479999840259552
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,128,1,128,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.0045471999794244765
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,64,1,64,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.004479999840259552
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_update,generation,256,1,256,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.006652799993753433
