framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_graph,bfloat16,2,128,0.004466559886932373,vllm_graph
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_eager,bfloat16,2,128,0.020819199085235596,vllm_eager
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_graph,bfloat16,2,256,0.00447488009929657,vllm_graph
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_eager,bfloat16,2,256,0.020348479747772215,vllm_eager
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_graph,bfloat16,2,512,0.004521600008010864,vllm_graph
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_eager,bfloat16,2,512,0.020555200576782225,vllm_eager
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_graph,bfloat16,2,1024,0.004519999921321869,vllm_graph
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_eager,bfloat16,2,1024,0.0208076810836792,vllm_eager
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_graph,bfloat16,2,2048,0.004448319971561432,vllm_graph
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_eager,bfloat16,2,2048,0.020724480152130124,vllm_eager
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_graph,bfloat16,2,4096,0.004528959989547729,vllm_graph
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_eager,bfloat16,2,4096,0.02072223901748657,vllm_eager
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_graph,bfloat16,2,8192,0.004545280039310455,vllm_graph
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_eager,bfloat16,2,8192,0.020753281116485594,vllm_eager
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_graph,bfloat16,2,16384,0.004552960097789764,vllm_graph
vLLM,0.20.0,NVIDIA H200,all_reduce,vLLM_custom_eager,bfloat16,2,16384,0.020571839809417725,vllm_eager
