framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,512,1,512,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.009625600278377533
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,1024,1,1024,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.01570879966020584
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,1024,1,1024,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.015782399475574492
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,1,1,1,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.0044895999133586885
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,2,1,2,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.004700800031423568
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,4,1,4,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.004483199864625931
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_fn,context,1,1,1,2048,4,16,128,16,128,Qwen/Qwen3.5-2B,0.25862720012664797
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,8,1,8,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.004639999940991402
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,8,1,8,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.003619199991226196
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,16,1,16,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.005164799839258194
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,16,1,16,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.0036768000572919846
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,32,1,32,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.0043680001050233844
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,32,1,32,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.0038111999630928038
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,64,1,64,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.0047231998294591905
vLLM,0.20.0,NVIDIA H200,gdn,causal_conv1d_update,generation,64,1,64,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.00398080013692379
