framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,1,1536,40,2,256,1,bfloat16,fp8,0,0.01926933353145917
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,32,128,48,4,256,1,bfloat16,fp8,0,0.024453334510326385
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,2,8192,64,8,128,1,bfloat16,fp8,0,0.29948266347249347
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,16,1,24,1,128,1,bfloat16,fp8,0,0.010117333382368088
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,16,2048,24,4,256,1,bfloat16,fp8,0,0.30586133400599164
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,4,12288,40,40,128,1,bfloat16,bfloat16,0,27.30164845784505
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,64,128,24,1,128,1,bfloat16,bfloat16,0,0.013829333086808523
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,4,64,2,2,128,1,bfloat16,bfloat16,0,0.010549332946538925
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,64,128,16,16,128,1,bfloat16,bfloat16,0,0.09265066186587016
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,4,16,16,8,256,1,bfloat16,fp8,0,0.013834666460752487
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,128,128,48,2,256,1,bfloat16,fp8,0,0.048528000712394714
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,2,128,64,8,256,1,bfloat16,bfloat16,0,0.014256000518798828
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,1,8192,64,64,256,1,bfloat16,bfloat16,0,8.75218137105306
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,64,1536,16,2,256,1,bfloat16,bfloat16,0,0.24012267589569092
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,1,6144,4,4,256,1,bfloat16,bfloat16,0,0.33562668164571124
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,64,1,64,8,128,1,bfloat16,fp8,0,0.022543999056021374
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,8,2048,8,8,256,1,bfloat16,bfloat16,0,0.5814773241678873
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,256,1,32,1,128,1,bfloat16,fp8,0,0.020138667275508244
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,32,16,1,1,128,1,bfloat16,bfloat16,0,0.010319999729593595
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,2,12288,4,4,128,1,bfloat16,fp8,0,1.5053226153055828
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,4,10240,4,1,256,1,bfloat16,bfloat16,0,0.2947733402252197
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,128,1,16,16,128,1,bfloat16,fp8,0,0.0646613339583079
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,8,16,48,8,128,1,bfloat16,fp8,0,0.014378666877746582
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,128,512,48,2,256,1,bfloat16,bfloat16,0,0.13215999801953635
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,64,2048,8,2,256,1,bfloat16,bfloat16,0,0.4954613447189331
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,2,16,24,24,128,1,bfloat16,bfloat16,0,0.010410666465759277
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,1,1,32,8,128,1,bfloat16,bfloat16,0,0.009861333295702934
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,64,32,16,2,256,1,bfloat16,bfloat16,0,0.015210667004187902
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,32,32,2,1,256,1,bfloat16,bfloat16,0,0.01301866645614306
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,4,1024,16,2,128,1,bfloat16,fp8,0,0.01687466725707054
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,4,128,16,16,256,1,bfloat16,fp8,0,0.015034666905800501
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,64,512,12,2,128,1,bfloat16,bfloat16,0,0.060821334520975746
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,128,512,40,8,256,1,bfloat16,fp8,0,0.655290683110555
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,32,16,64,1,128,1,bfloat16,bfloat16,0,0.012639999389648438
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,1,64,48,2,256,1,bfloat16,bfloat16,0,0.012543999900420507
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,64,32,8,4,256,1,bfloat16,bfloat16,0,0.019424000134070713
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,64,256,8,4,128,1,bfloat16,fp8,0,0.08247999846935272
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,2,12288,2,1,256,1,bfloat16,fp8,0,0.7770453294118246
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,2,2048,32,4,256,1,bfloat16,bfloat16,0,0.030634666482607525
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,2,16384,4,4,256,1,bfloat16,fp8,0,7.344789505004883
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,32,32,16,1,128,1,bfloat16,bfloat16,0,0.0120319997270902
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,8,16384,64,1,256,1,bfloat16,bfloat16,0,0.19509865840276083
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,16,64,4,4,256,1,bfloat16,bfloat16,0,0.01301866645614306
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,4,16384,8,1,128,1,bfloat16,bfloat16,0,0.227674663066864
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,8,256,4,4,256,1,bfloat16,bfloat16,0,0.019109333554903667
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,4,16,12,4,128,1,bfloat16,bfloat16,0,0.009930666536092758
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,1,32,32,2,256,1,bfloat16,bfloat16,0,0.0122079998254776
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,128,32,48,48,256,1,bfloat16,fp8,0,0.3409279982248942
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,1,6144,16,2,256,1,bfloat16,bfloat16,0,0.04369066655635834
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,2,6144,48,8,128,1,bfloat16,fp8,0,0.24597867329915366
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,1,16384,48,8,256,1,bfloat16,bfloat16,0,0.9601813157399496
VLLM,0.20.0,NVIDIA H200,context_attention,vllm_flash_attn,256,512,8,1,128,1,bfloat16,fp8,0,0.12071466445922852
