framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_eager,bfloat16,2,268435456,2.0419276428222655,vllm_eager
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_graph,bfloat16,2,536870912,3.2275698852539065,vllm_graph
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_eager,bfloat16,2,536870912,3.9491763305664067,vllm_eager
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_graph,bfloat16,4,128,0.004671039879322052,vllm_graph
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_eager,bfloat16,4,128,0.023087360858917237,vllm_eager
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_graph,bfloat16,4,256,0.004540480077266693,vllm_graph
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_eager,bfloat16,4,256,0.021548800468444824,vllm_eager
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_graph,bfloat16,4,512,0.004543040096759796,vllm_graph
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_eager,bfloat16,4,512,0.022363200187683105,vllm_eager
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_graph,bfloat16,4,1024,0.004547519981861115,vllm_graph
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_eager,bfloat16,4,1024,0.022491838932037354,vllm_eager
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_graph,bfloat16,4,2048,0.0046793600916862485,vllm_graph
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_eager,bfloat16,4,2048,0.022504959106445312,vllm_eager
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_graph,bfloat16,4,4096,0.004804799854755402,vllm_graph
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_eager,bfloat16,4,4096,0.021332480907440186,vllm_eager
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_graph,bfloat16,4,8192,0.0049116799235343934,vllm_graph
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_eager,bfloat16,4,8192,0.022624640464782714,vllm_eager
vLLM,0.20.0,NVIDIA H100 80GB HBM3,all_reduce,vLLM_custom_graph,bfloat16,4,16384,0.004914239943027496,vllm_graph
