framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,64,1,2,1,128,1,bfloat16,bfloat16,3,0.012543999900420507
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,16,1,4,1,128,1,bfloat16,bfloat16,4095,0.04418133199214935
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,16,1,12,1,128,1,bfloat16,fp8,8191,0.08954133590062459
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,64,1,2,1,128,1,bfloat16,fp8,31,0.010725333044926325
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,128,1,64,1,128,1,bfloat16,fp8,1023,0.0234400009115537
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,1,1,8,4,128,1,bfloat16,fp8,3,0.009418666362762451
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,64,1,40,1,128,1,bfloat16,bfloat16,1,0.010773333410422007
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,64,1,64,2,128,1,bfloat16,bfloat16,255,0.01309866706530253
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,16,1,8,4,128,1,bfloat16,bfloat16,32767,0.35602664947509766
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,1,1,32,8,128,1,bfloat16,bfloat16,1023,0.011968000481526056
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,32,1,8,8,128,1,bfloat16,fp8,255,0.01923199991385142
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,4,1,48,8,128,1,bfloat16,fp8,3,0.010501333822806677
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,2,1,48,8,128,1,bfloat16,fp8,31,0.010090666512648264
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,1,1,8,8,128,1,bfloat16,bfloat16,1,0.00966933307548364
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,512,1,8,4,128,1,bfloat16,bfloat16,255,0.11939199765523274
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,256,1,1,1,128,1,bfloat16,bfloat16,2047,0.10221866766611735
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,16,1,8,1,128,1,bfloat16,bfloat16,63,0.009829333052039146
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,512,1,8,4,128,1,bfloat16,fp8,127,0.08982400099436443
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,8,1,32,2,128,1,bfloat16,fp8,7,0.0102186668664217
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,8,1,12,2,128,1,bfloat16,fp8,31,0.00997866690158844
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,8,1,64,4,128,1,bfloat16,bfloat16,7,0.01028266673286756
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,128,1,24,8,128,1,bfloat16,fp8,255,0.05541866521040598
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,4,1,8,2,128,1,bfloat16,fp8,1,0.00972800018886725
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,512,1,1,1,128,1,bfloat16,fp8,3,0.029338667790095013
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,32,1,64,2,128,1,bfloat16,fp8,15,0.010575999816258749
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,1024,1,8,2,128,1,bfloat16,bfloat16,1,0.05958933134873708
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,8,1,16,4,128,1,bfloat16,bfloat16,255,0.011823999385039011
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,32,1,16,2,128,1,bfloat16,bfloat16,7,0.010656000425418219
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,64,1,32,4,128,1,bfloat16,bfloat16,15,0.01481066644191742
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,64,1,16,4,128,1,bfloat16,bfloat16,63,0.014815999815861383
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,2,1,24,4,128,1,bfloat16,bfloat16,127,0.009658666948477427
VLLM,0.20.0,NVIDIA H100 80GB HBM3,generation_attention,vllm_flash_attn,1,1,8,4,128,1,bfloat16,fp8,127,0.010485333700974783
