framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,1,1,1,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.005152000114321709
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,1,1,1,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.005711999908089638
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,1,1,1,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.003964800015091896
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,2,1,2,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004358400031924248
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,1,1,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.26462080478668215
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,2,1,2,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.005129599943757057
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,1,1,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.2804287910461426
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,2,1,2,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.0036479998379945755
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,1,1,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.25999040603637696
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,1,1,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.25997118949890136
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,4,1,4,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.0042559999972581865
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,4,1,4,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.005023999884724617
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,1,1,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.2644063949584961
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,4,1,4,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.0036736000329256058
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,8,1,8,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004275200143456459
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,8,1,8,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.005084799975156784
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,8,1,8,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.003606399893760681
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,16,1,16,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004323200136423111
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,16,1,16,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004944000020623207
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,16,1,16,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.0036416001617908477
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,32,1,32,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004182400181889534
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,32,1,32,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004793599992990494
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,32,1,32,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.0038015998899936674
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,64,1,64,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004287999868392944
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,64,1,64,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004956800118088722
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,64,1,64,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.003942399844527244
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,128,1,128,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.004758400097489357
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,128,1,128,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.004848000034689904
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,128,1,128,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.004633599892258644
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,256,1,256,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.006214400008320809
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,256,1,256,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.006185600161552429
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,256,1,256,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.006195199862122536
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,512,1,512,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.00947519987821579
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,512,1,512,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.009494400024414063
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,512,1,512,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.009337600320577621
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,1024,1,1024,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.01541759967803955
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,1,1,1,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.004800000041723251
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,1024,1,1024,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.015440000593662262
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,2,1,2,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.004470400139689445
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,1024,1,1024,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.015408000349998474
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,4,1,4,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.004403200000524521
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_fn,context,1,1,1,2048,4,16,128,16,128,Qwen/Qwen3.5-2B,0.268451189994812
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,1,1,1,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.003836800158023834
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,8,1,8,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.004467200115323066
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,2,1,2,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.003622400015592575
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,4,1,4,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.003619199991226196
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,8,1,8,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.003574400022625923
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,16,1,16,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.0036256000399589538
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,32,1,32,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.0036800000816583633
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,64,1,64,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.0038623999804258346
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,16,1,16,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.004303999990224838
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,128,1,128,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.004550400003790855
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,32,1,32,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.0042975999414920805
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,256,1,256,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.006159999966621399
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,64,1,64,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.004569600149989128
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,512,1,512,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.009363199770450591
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,128,1,128,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.004700800031423568
vLLM,0.20.0,NVIDIA H100 80GB HBM3,gdn,causal_conv1d_update,generation,1024,1,1024,3072,4,16,128,64,128,Qwen/Qwen3.5-122B-A10B,0.01541759967803955
