framework,version,device,op_name,kernel_source,model,architecture,mla_dtype,kv_cache_dtype,gemm_type,num_heads,batch_size,isl,tp_size,step,latency
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,128,128,1,1,2048,0.5532
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,1,128,1,1,64,0.2531
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,128,4,1,1,2,0.3093
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,128,1024,1,1,16384,3.2176
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,32,64,1,1,4096,0.3100
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,4,2,1,1,128,0.2484
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,64,512,1,1,8,0.8290
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,16,1024,1,1,4,1.2905
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,bfloat16,32,8,1,1,256,0.3055
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,16,8,1,1,1024,0.2555
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,1,128,1,1,32,0.2985
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,2,64,1,1,8,0.2579
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,2,64,1,1,1024,0.2564
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,16,4,1,1,512,0.2641
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,32,2,1,1,32768,0.2441
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,64,256,1,1,4096,0.6288
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,4,512,1,1,1024,0.7326
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,32,128,1,1,32,0.3122
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,32,8,1,1,128,0.2726
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,16,1,1,1,32768,0.1980
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,16,2,1,1,128,0.2625
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,64,128,1,1,2048,0.3894
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,2,1024,1,1,256,0.9391
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,16,4,1,1,2,0.2014
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,128,1024,1,1,4,2.5243
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,32,256,1,1,512,0.4680
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,16,16,1,1,65536,0.3052
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,2,4,1,1,2048,0.1802
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,bfloat16,fp8_block,128,4,1,1,32,0.3621
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,1,64,1,1,131072,0.7486
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,32,1,1,1,256,0.1924
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,32,64,1,1,16384,0.3519
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,fp8_block,64,16,1,1,256,0.2305
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,bfloat16,2,64,1,1,2,0.2650
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,fp8,bfloat16,4,512,1,1,512,0.7289
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,2,8,1,1,256,0.1934
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,fp8_block,8,4,1,1,2,0.1875
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,deepseek-ai/DeepSeek-V3.2,DeepseekV32ForCausalLM,bfloat16,bfloat16,fp8_block,4,512,1,1,2,0.5668
VLLM,0.20.0,NVIDIA H100 80GB HBM3,dsa_generation_module,default,zai-org/GLM-5,GlmMoeDsaForCausalLM,bfloat16,fp8,bfloat16,16,4,1,1,32,0.2020
