framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,16,1,4,1,128,1,bfloat16,bfloat16,8191,0.013125333935022354
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,2,1,16,1,128,1,bfloat16,bfloat16,2047,0.009093333035707474
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,2048,1,32,8,128,1,bfloat16,bfloat16,3,0.15235199530919394
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,32,1,16,1,128,1,bfloat16,bfloat16,63,0.0068800002336502075
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,128,1,1,1,256,1,bfloat16,bfloat16,8191,0.1583199997742971
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,64,1,16,4,256,1,bfloat16,bfloat16,511,0.027162666122118633
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,128,1,1,1,256,1,bfloat16,bfloat16,1,0.008778666456540426
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,256,1,16,4,128,1,bfloat16,bfloat16,7,0.015253332753976187
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,512,1,8,4,256,1,bfloat16,bfloat16,15,0.041482667128245033
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,128,1,24,2,256,1,bfloat16,bfloat16,511,0.027482666075229645
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,32,1,64,4,128,1,bfloat16,bfloat16,1,0.00890666681031386
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,32,1,64,4,128,1,bfloat16,bfloat16,31,0.008757333581646284
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,32,1,64,4,128,1,bfloat16,fp8,31,0.008661333471536636
VLLM,0.20.0,NVIDIA B300 SXM6 AC,generation_attention,vllm_flashinfer,32,1,64,4,128,1,bfloat16,bfloat16,63,0.008714666590094566
